1;2;3;4;5;6;7;8;9;10;11;12;13;14
32;NES;2000;12/02/2000;17:00;13/02/2000;00:00;163º, 19º;2;1;(-BA -BT);3.781;9.254;91.30º
33;WNE;2000;21/02/2000;15:00;22/02/2000;11:00;166º, 59º;2;2;NOT;2.885;7.511;110.33º
34;SWN;2000;07/04/2000;03:00;08/04/2000;09:00;305º, 39º;1;2;(-BA +BT);6.140;9.146;97.03º
35;NOT;2000;18/04/2000;19:00;19/04/2000;01:00;NOT;0;0;NOT;;;
36;NOT;2000;16/05/2000;23:00;17/05/2000;07:00;NOT;0;0;NOT;;;
37;NES;2000;24/05/2000;22:00;25/05/2000;10:00;111º, -33º;2;1;(+BA -BT);2.885;7.489;131.17º
38;SEN;2000;11/06/2000;09:00;11/06/2000;17:00;134º, -4º;1;1;(+BA -BT);12.135;15.015;128.96º
39;NES;2000;18/06/2000;10:00;18/06/2000;17:00;112º, -2º;2;2;(-BA -BT);4.182;9.506;124.15º
40;NOT;2000;24/06/2000;00:00;26/06/2000;08:00;NOT;0;0;NOT;;;NOT
41;ENW;2000;01/07/2000;09:00;02/07/2000;00:00;168º, 54º;1;2;(-BA +BT);3.192;7.828;113.52º
42;SEN;2000;12/07/2000;00:00;13/07/2000;02:00;21º, 16º;2;1;(+BA +BT);2.636;6.937;102.65º
43;NOT;2000;13/07/2000;13:00;14/07/2000;00:00;NOT;0;0;NOT;;;
44;SWN;2000;14/07/2000;16:00;15/07/2000;13:00;299º, 3º;1;1;(+BA +BT);2.375;4.678;114.20º
45;SEN;2000;15/07/2000;19:00;16/07/2000;12:00;57º, 27º;2;1;(+BA +BT);5.716;9.522;125.05º
46;NOT;2000;27/07/2000;02:00;28/07/2000;02:00;NOT;0;0;NOT;;;
47;NOT;2000;28/07/2000;18:00;29/07/2000;09:00;309º, 8º;1;1;(-BA +BT);1.752;171;143.43º
48;NOT;2000;10/08/2000;20:00;11/08/2000;06:00;NOT;0;0;NOT;;;
49;SEN;2000;12/08/2000;05:00;13/08/2000;00:00;92º, -7º;1;2;(-BA -BT);5.171;10.027;116.43º
50;NOT;2000;18/09/2000;00:00;18/09/2000;14:00;NOT;0;0;NOT;;;
51;NES;2000;03/10/2000;16:00;04/10/2000;13:00;53º, 29º;2;1;(+BA -BT);9.001;14.013;147.81º
52;WNE;2000;06/10/2000;01:00;06/10/2000;15:00;137º, 68º;0;2;(+BA +BT);2.367;6.114;90.76º
53;NES;2000;13/10/2000;16:00;14/10/2000;05:00;50º, 4º;1;1;(+BA +BT);4.858;10.423;99.23º
54;SEN;2000;29/10/2000;02:00;29/10/2000;14:00;NOT;0;0;NOT;;;
55;SEN;2000;06/11/2000;23:00;07/11/2000;15:00;107º, -13º;1;2;(-BA -BT);3.903;8.929;111.61º
56;NOT;2000;08/11/2000;13:00;09/11/2000;15:00;NOT;0;0;NOT;;;
57;SEN;2000;29/11/2000;07:00;29/11/2000;20:00;61º, -27º;1;1;(+BA +BT);4.630;8.468;92.74º
58;NOT;2001;24/01/2001;09:00;26/01/2001;07:00;NOT;0;0;NOT;;;
59;ESW;2001;04/03/2001;16:00;05/03/2001;01:00;NOT;0;0;NOT;1.565;3.227;94.81º
60;WSE;2001;19/03/2001;20:00;20/03/2001;23:00;215º, -51º;0;1;(+BA +BT);26.231;17.966;156.65º
61;SEN;2001;20/03/2001;23:00;22/03/2001;11:00;39º, -26º;2;1;(+BA -BT);3.088;7.991;148.90º
62;SEN;2001;27/03/2001;22:00;28/03/2001;05:00;177º, 13º;1;1;(+BA +BT);2.312;5.266;92.80º
63;NOT;2001;31/03/2001;05:00;31/03/2001;22:00;NOT;0;0;NOT;;;
64;SEN;2001;01/04/2001;06:00;01/04/2001;12:00;110º, 14º;2;1;(+BA +BT);6.576;12.232;144.59º
65;NOT;2001;04/04/2001;18:00;05/04/2001;12:00;NOT;0;0;NOT;;;
66;WNE;2001;12/04/2001;07:00;13/04/2001;16:00;313º, 65º;2;2;(+BA +BT);2.958;7.277;97.86º
67;WSE;2001;22/04/2001;00:00;23/04/2001;00:00;96º, -59º;0;1;(+BA +BT);8.669;12.673;167.38º
68;SEN;2001;29/04/2001;01:00;29/04/2001;13:00;122º, 10º;2;1;(+BA +BT);7.804;12.559;126.78º
69;NOT;2001;07/05/2001;19:00;08/05/2001;07:00;NOT;0;0;NOT;*;*;*
70;SWN;2001;09/05/2001;12:00;10/05/2001;22:00;194º, -26º;1;1;(+BA +BT);3.367;8.310;109.82º
71;SEN;2001;28/05/2001;11:00;29/05/2001;06:00;52º, -38º;1;2;(-BA -BT);4.629;10.491;113.77º
72;NOT;2001;07/06/2001;18:00;08/06/2001;07:00;NOT;0;0;NOT;*;*;*
73;NOT;2001;27/06/2001;03:00;28/06/2001;17:00;NOT;0;0;NOT;*;*;*
74;SWN;2001;10/07/2001;17:00;11/07/2001;23:00;252º, -6º;2;2;(+BA +BT);3.760;9.013;135.76º
75;WSE;2001;13/07/2001;18:00;14/07/2001;01:00;10º, -56º;1;1;(-BA +BT);2.623;6.679;115.91º
76;NOT;2001;30/08/2001;17:00;31/08/2001;10:00;NOT;0;0;NOT;*;*;*
77;NOT;2001;01/09/2001;13:00;02/09/2001;22:00;NOT;0;0;NOT;*;*;*
78;NOT;2001;13/09/2001;18:00;14/09/2001;22:00;NOT;0;0;NOT;*;*;*
79;NOT;2001;24/09/2001;00:00;24/09/2001;22:00;NOT;0;0;NOT;*;*;*
80;NOT;2001;29/09/2001;11:00;01/10/2001;00:00;NOT;0;0;NOT;*;*;*
81;SEN;2001;03/10/2001;09:00;03/10/2001;16:00;117º, -26º;2;2;(-BA -BT);13.014;15.134;128.68º
82;NOT;2001;12/10/2001;04:00;12/10/2001;09:00;NOT;0;0;NOT;*;*;*
83;SEN;2001;31/10/2001;20:00;02/11/2001;10:00;84º, -3º;2;2;(+BA -BT);4.914;10.765;119.00º
84;ESW;2001;06/11/2001;00:00;06/11/2001;06:00;27º, -78º;1;2;(-BA +BT);48.888;6.267;114.93º
85;SWN;2001;06/11/2001;12:00;07/11/2001;17:00;254º, -31º;2;2;(-BA -BT);6.283;9.756;119.93º
86;NOT;2001;19/11/2001;22:00;21/11/2001;13:00;NOT;0;0;NOT;*;*;*
87;SEN;2001;24/11/2001;17:00;25/11/2001;13:00;NOT;0;0;NOT;*;*;*
88;WNE;2001;30/12/2001;04:00;30/12/2001;16:00;156º, 58º;2;2;(+BA -BT);19.049;16.981;171.46º
89;SWN;2002;28/02/2002;20:00;01/03/2002;10:00;308º, -33º;1;2;(+BA -BT);;;
90;NES;2002;19/03/2002;23:00;20/03/2002;10:00;NOT;0;0;NOT;*;*;*
91;SWN;2002;24/03/2002;12:00;25/03/2002;04:00;279º , 12º;2;1;(-BA +BT);3.451;7.263;90.02º
92;NOT;2002;12/04/2002;01:00;13/04/2002;13:00;NOT;0;0;NOT;*;*;*
93;SWN;2002;18/04/2002;00:00;19/04/2002;01:00;355º, -29º;2;2;(+BA +BT);2.156;5.299;93.67º
94;SEN;2002;20/04/2002;13:00;21/04/2002;07:00;158º, -34º;1;2;(-BA +BT);4.416;9.718;93.81º
95;NOT;2002;11/05/2002;15:00;12/05/2002;00:00;NOT;0;0;NOT;*;*;*
96;SEN;2002;19/05/2002;03:00;20/05/2002;20:00;NOT;0;0;NOT;*;*;*
97;NOT;2002;23/05/2002;23:00;24/05/2002;11:00;NOT;0;0;NOT;*;*;*
98;ENW;2002;18/07/2002;12:00;19/07/2002;09:00;107º, 72º;0;1;(-BA -BT);2.992;6.514;116.32º
99;NWS;2002;01/08/2002;15:00;01/08/2002;23:00;239º, -26º;1;2;(-BA -BT);3.914;7.518;100.09ª
100;NWS;2002;02/08/2002;06:00;02/08/2002;22:00;NOT;0;0;NOT;*;*;*
101;WSE;2002;20/08/2002;14:00;21/08/2002;07:00;254º, -56º;0;2;(+BA +BT);4.683;10.355;129.65º
102;NWS;2002;29/08/2002;21:00;30/08/2002;05:00;270º, 10º;1;1;(+BA +BT);4.669;10.240;117.58º
103;NOT;2002;07/09/2002;12:00;08/09/2002;04:00;NOT;0;0;NOT;*;*;*
104;NES;2002;09/09/2002;05:00;10/09/2002;10:00;39º, 37º;1;1;(-BA +BT);2.973;7.372;99.38º
105;NES;2002;30/09/2002;23:00;01/10/2002;15:00;129º, 21º;1;1;(+BA +BT);5.479;11.459;162.11º
106;NES;2002;03/10/2002;08:00;04/10/2002;08:00;70º, 10º;2;2;(+BA +BT);3.593;7.897;141.92º
107;NWS;2002;17/11/2002;09:00;18/11/2002;07:00;239º, -31º;1;2;(+BA +BT);2.356;6.145;103.54º
108;WNE;2003;27/01/2003;02:00;27/01/2003;15:00;NOT;0;0;NOT;*;*;*
109;WSE;2003;20/03/2003;13:00;20/03/2003;22:00;279º, -86º;1;1;NOT;6.871;12.460;105.07º
110;NES;2003;09/05/2003;14:00;10/05/2003;04:00;51º, -38º;1;2;(-BA +BT);5.158;11.041;176.22º
111;NOT;2003;29/05/2003;13:00;29/05/2003;18:00;NOT;0;0;NOT;;;
112;NWS;2003;30/05/2003;02:00;30/05/2003;16:00;214º, 29º;2;1;(-BA +BT);2.066;5.266;102.48º
113;SWN;2003;15/06/2003;20:00;16/06/2003;05:00;213º, 23º;1;2;(+BA +BT);4.915;10.801;96.05º
114;NWS;2003;17/06/2003;17:00;18/06/2003;03:00;266º, 28º;2;2;(+BA +BT);2.839;7.441;108.13º
115;WSE;2003;23/07/2003;16:00;24/07/2003;23:00;121º, -83º;2;2;(-BA +BT);7.616;12.409;106.70º
116;NWS;2003;05/08/2003;15:00;06/08/2003;00:00;232º, 2º;1;1;(+BA +BT);7.667;11.893;99.49º
117;NOT;2003;16/08/2003;02:00;17/08/2003;16:00;NOT;0;0;*;*;*;*
118;SWN;2003;18/08/2003;06:00;19/08/2003;11:00;356º, -29º;2;1;(-BA -BT);6.408;10.986;101.31º
119;WNE;2003;23/10/2003;15:00;23/10/2003;00:00;183º, 61º;1;2;(-BA +BT);6.080;9.257;135.20º
120;NOT;2003;24/10/2003;21:00;25/10/2003;12:00;NOT;0;0;NOT;*;*;*
121;SWN;2003;26/10/2003;22:00;28/10/2003;12:00;268º, -14º;2;2;(+BA +BT);2.024;5.066;98.34º
122;SEN;2003;29/10/2003;18:00;30/10/2003;03:00;75º, -13º;1;1;(+BA +BT);2.078;5.104;138.44º
123;NOT;2003;31/10/2003;02:00;02/11/2003;00:00;NOT;0;0;NOT;*;*;*
124;ESW;2003;20/11/2003;11:00;21/11/2003;00:00;7º, -75º;0;1;NOT;15.218;15.787;168.48º
125;ENW;2004;10/01/2004;07:00;10/01/2004;12:00;151º, 50º;0;2;NOT;20.547;15.980;176.81º
126;NOT;2004;23/01/2004;23:00;23/01/2004;04:00;NOT;0;0;;*;*;*
127;ENW;2004;03/04/2004;02:00;05/04/2004;15:00;29º, 80º;0;1;NOT;8.153;12.683;110.75º
128;SEN;2004;26/04/2004;18:00;26/04/2004;04:00;NOT;0;0;NOT;*;*;*
129;NWS;2004;01/05/2004;16:00;02/05/2004;09:00;NOT;0;0;NOT;*;*;*
130;NES;2004;22/07/2004;15:00;22/07/2004;23:00;66º, 20º;1;1;(-BA +BT);2.566;6.401;103.24º
131;NES;2004;24/07/2004;14:00;25/07/2004;15:00;66º, -34º;1;2;(-BA +BT);4.879;10.568;112.01º
132;SWN;2004;25/07/2004;19:00;26/07/2004;03:00;208º, -43º;1;1;(-BA -BT);5.566;11.334;154.98º
133;NES;2004;27/07/2004;02:00;27/07/2004;22:00;111º, -13º;1;2;(+BA -BT);3.469;8.733;156.93º
134;NWS;2004;01/08/2004;11:00;02/08/2004;04:00;NOT;0;0;NOT;*;*;*
135;NES;2004;29/08/2004;19:00;30/08/2004;20:00;89º, -9º;1;2;(-BA -BT);2.382;6.252;113.14º
136;WSE;2004;14/09/2004;21:00;15/09/2004;03:00;42º, -49º;1;1;(+BA +BT);2.129;5.309;118.42º
137;WNE;2004;18/09/2004;17:00;19/09/2004;13:00;203º, 53º;1;2;(-BA -BT);3.579;8.510;92.90º
138;SEN;2004;08/11/2004;02:00;08/11/2004;17:00;NOT;0;0;NOT;*;*;*
139;NWS;2004;09/11/2004;21:00;10/11/2004;05:00;275º, 4º;1;1;(-BA -BT);10.172;14.463;138.32º
140;SEN;2004;10/11/2004;05:00;10/11/2004;11:00;38º , -26º;1;1;(+BA +BT);3.620;8.760;93.65º
141;ESW;2004;12/11/2004;18:00;12/11/2004;01:00;336º , -52º;1;2;(+BA +BT);4.403;9.987;20.52º
142;SEN;2004;12/12/2004;23:00;13/12/2004;19:00;101º , 14º;2;1;(+BA -BT);2.710;6.900;112.19
143;NWS;2004;27/12/2004;16:00;27/12/2004;23:00;244º, -32º;1;2;(+BA +BT);6.909;11.155;98.75º
144;NWS;2005;07/01/2005;16:00;08/01/2004;00:00;283º, 40º;1;1;(+BA -BT);3.145;7.082;152.08º
145;ENW;2005;09/01/2005;10:00;09/01/2005;17:00;328º, 61º;2;2;(+BA +BT);3.779;8.764;123.73º
146;NWS;2005;16/01/2005;17:00;17/01/2005;02:00;246º, -12º;1;1;(-BA -BT);7.757;13.298;110.96º
147;SWN;2005;21/02/2005;03:00;21/02/2005;16:00;NOT;0;0;NOT;*;*;*
148;NWS;2005;15/05/2005;14:00;16/05/2005;13:00;257º, 1º;1;1;(-BA +BT);5.768;11.622;94.37º
149;NWS;2005;20/05/2005;17:00;21/05/2005;05:00;247º, 1º;1;1;(-BA -BT);2.398;6.280;117.24º
150;ENW;2005;29/05/2005;09:00;29/05/2005;15:00;297º, 45º;1;1;(-BA +BT);5.396;11.224;121.75
151;WSE;2005;30/05/2005;05:00;30/05/2005;23:00;232º, -50º;2;1;(-BA +BT);3.170;6.989;158.54
152;WSE;2005;12/06/2005;16:00;13/06/2005;08:00;NOT;0;0;NOT;*;*;*
153;SEN;2005;15/06/2005;06:00;16/06/2005;00:00;100º, 11º;2;1;(+BA +BT);2.532;6.642;157.76º
154;NES;2005;16/06/2005;08:00;17/06/2005;14:00;NOT;0;0;NOT;*;*;*
155;NES;2005;10/07/2005;08:00;10/07/2005;23:00;98º, -3º;1;2;(-BA +BT);4.028;9.414;123.90º
156;NES;2005;17/07/2005;15:00;17/07/2005;22:00;62º, 24º;1;1;(+BA +BT);13.234;13.644;147.46º
157;ENW;2005;09/08/2005;05:00;09/08/2005;13:00;NOT;0;0;NOT;*;*;*
158;NES;2005;10/08/2005;06:00;10/08/2005;12:00;57º, 8º;1;1;(-BA +BT);5.082;3.954;91.46º
159;WSE;2005;24/08/2005;17:00;24/08/2005;23:00;288º, -73º;0;1;(-BA -BT);2.624;6.888;31.40º
160;NES;2005;24/08/2005;23:00;25/08/2005;05:00;NOT;0;0;NOT;*;*;*
161;NES;2005;02/09/2005;19:00;03/09/2005;04:00;119º, 7º;1;1;(+BA -BT);5.065;9.412;151.41º
162;NOT;2005;15/09/2005;06:00;16/09/2005;18:00;NOT;0;0;NOT;*;*;*
163;NES;2005;31/10/2005;02:00;31/10/2005;19:00;128º, 2º;2;2;(+BA -BT);2.807;6.781;136.64º
164;SWN;2005;31/12/2005;14:00;01/01/2006;13:00;270º, 17º;2;1;(-BA +BT);7.745;12.957;119.93º
165;NES;2006;05/02/2006;20:00;06/02/2006;12:00;81º, 2º;1;1;(-BA +BT);11.360;14.637;110.73º
166;ENW;2006;13/04/2006;15:00;13/04/2006;22:00;163º, 81º;0;1;(-BA -BT);36.7;19.1;137.44º
167;NWS;2006;13/04/2006;22:00;14/04/2006;09:00;254º, -8º;1;1;(+BA +BT);2.2;5.7;97.91º
168;NWS;2006;30/08/2006;21:00;31/08/2006;17:00;257º, 41º;1;2;(+BA -BT);25.786;11.381;139.24º
169;NWS;2006;30/09/2006;08:00;30/09/2006;20:00;306º, 23º;1;1;(-BA -BT);49.960;17.803;103.73º
170;NES;2006;29/11/2006;12:00;30/11/2006;10:00;80º, -14º;2;2;(-BA +BT);4.216;9.722;157.58º
171;NOT;2006;14/12/2006;22:00;15/12/2006;13:00;NOT;0;0;NOT;*;*;*
172;NWS;2007;14/01/2007;12:00;15/01/2007;07:00;283º, 40º;2;1;(-BA -BT);4.812;10.463;116.33º
173;NWS;2007;20/11/2007;00:00;20/11/2007;12:00;284º, -8º;2;2;(+BA -BT);11.500;14.965º;155.14º
174;NOT;2008;17/09/2008;21:00;18/09/2008;05:00;NOT;0;0;NOT;*;*;*
175;NOT;2008;04/12/2008;20:00;05/12/2008;07:00;NOT;0;0;NOT;*;*;*
176;NOT;2009;17/12/2008;04:00;17/12/2008;14:00;NOT;0;0;NOT;*;*;*
177;SWN;2009;19/01/2009;01:00;19/01/2009;07:00;301º, -2º;2;2;(+BA +BT);2.412;6.192;136.72º
178;NOT;2009;26/01/2009;10:00;26/01/2009;15:00;NOT;0;0;NOT;*;*;*
179;NES;2009;04/02/2009;00:00;04/02/2009;11:00;102º, 1º;1;1;(+BA +BT);4.632;10.100;159.50º
180;NWS;2009;03/06/2009;23:00;05/06/2009;08:00;223º, -14º;1;2;(+BA -BT);2.084;5.009;118.13º
181;WNE;2009;27/06/2009;23:00;28/06/2009;12:00;110º, 71º;0;1;NOT;2.486;6.436;134.22º
182;NOT;2009;22/07/2009;00:00;22/07/2009;08:00;NOT;0;0;NOT;*;*;*
183;NWS;2009;30/09/2009;10:00;30/09/2009;20:00;296º, 23º;1;1;(+BA -BT);5.357;11.333;95.40º
184;NWS;2009;29/10/2009;09:00;29/10/2009;23:00;248º, -1º;1;1;(+BA -BT);2.217;5.765;121.74º
185;NOT;2009;14/11/2009;10:00;14/11/2009;18:00;NOT;0;0;NOT;*;*;*
186;NES;2009;12/12/2009;20:00;13/12/2009;22:00;70º, 25º;1;1;(+BA +BT);3.048;7.635;101.55º
187;NES;2010;02/01/2010;02:00;03/01/2010;00:00;76º,36º;1;1;(+BA +BT);5.803;11.014;130.31º
188;SWN;2010;07/02/2010;22:00;08/02/2010;20:00;244º, 32º;2;1;(-BA +BT);5.043;10.581;136.90º
189;NOT;2010;22/02/2010;14:00;22/02/2010;23:00;NOT;0;0;NOT;*;*;*
190;NWS;2010;05/04/2010;18:00;06/04/2010;13:00;222º, -21º;2;2;(-BA +BT);5.784;11.764;107.98º
191;SWN;2010;09/04/2010;20:00;10/04/2010;20:00;271º, 10º;2;1;(-BA +BT);3.079;4.622;94.55º
192;NOT;2010;12/04/2010;01:00;12/04/2010;15:00;NOT;0;0;NOT;*;*;*
193;WSE;2010;28/05/2010;23:00;29/05/2010;17:00;272º, -81º;0;2;NOT;7.713;13.273;128.68º
194;NES;2010;21/06/2010;06:00;22/06/2010;14:00;95º, 18º;1;1;(+BA +BT);3.527;7.398;147.54º
195;ESW;2010;04/08/2010;09:00;05/08/2010;00:00;10º, -59º;2;2;(+BA -BT);12.730;14.349;108.83º
196;WNE;2010;31/10/2010;05:00;01/11/2010;21:00;308º, 56º;1;1;(-BA -BT);4.942;10.718;131.48
197;NES;2010;28/12/2010;06:00;28/12/2010;12:00;NOT;0;0;NOT;;;
198;NES;2011;24/01/2011;10:00;25/01/2011;08:00;91º, -19º;1;2;(-BA +BT);14.580;16.123;169.02º
199;NES;2011;04/02/2011;13:00;04/02/2011;20:00;78º, -14º;1;2;(-BA -BT);3.454;8.349;128.72º
200;NOT;2011;18/02/2011;18:00;20/02/2011;08:00;NOT;0;0;NOT;*;*;*
201;WNE;2011;29/03/2011;23:00;31/03/2011;04:00;112º, 49º;1;1;(+BA +BT);4.323;10.065;164.97º
202;SWN;2011;28/05/2011;06:00;28/05/2011;20:00;287º, -14º;2;2;(-BA +BT);8.000;12.150;114.01º
203;NES;2011;05/06/2011;03:00;05/06/2011;17:00;127º, -26º;1;2;(+BA +BT);3.278;8.350;158.41º
204;NES;2011;17/06/2011;08:00;17/06/2011;14:00;112º, 4º;1;1;(+BA +BT);2.065;4.636;118.90º
205;NWS;2011;07/07/2011;06:00;07/07/2011;12:00;263º, -2º;1;2;(-BA +BT);3.548;4.636;110.07º
206;SWN;2011;05/08/2011;02:00;05/08/2011;08:00;268º, -10º;2;2;(-BA -BT);11.365;14.908;140.78º
207;NOT;2011;06/08/2011;22:00;07/08/2011;15:00;NOT;0;0;NOT;*;*;*
208;NOT;2011;08/09/2011;20:00;09/09/2011;04:00;NOT;0;0;NOT;*;*;*
209;SWN;2011;10/09/2011;03:00;10/09/2011;11:00;234º, -24º;2;2;(-BA -BT);4.278;9.754;139.73º
210;NOT;2011;17/09/2011;14:00;18/09/2011;06:00;NOT;0;0;NOT;*;*;*
211;NOT;2011;18/09/2011;12:00;18/09/2011;21:00;NOT;0;0;NOT;*;*;*
212;SWN;2011;22/09/2011;22:00;23/09/2011;05:00;270º, -21º;2;2;(-BA -BT);3.663;8.761;128.10º
213;NOT;2011;05/10/2011;10:00;05/10/2011;03:00;NOT;0;0;NOT;*;*;*
214;NOT;2011;06/10/2011;12:00;06/10/2011;23:00;NOT;0;0;NOT;*;*;*
215;NWS;2011;22/10/2011;21:00;23/10/2011;14:00;319º, -17º;2;1;(-BA -BT);2.273;5.288;150.04º
216;ENW;2011;25/10/2011;01:00;25/10/2011;16:00;68º, 74º;0;1;NOT;3.637;9.019;112.36º
217;WSE;2011;02/11/2011;02:00;02/11/2011;18:00;68º, -49º;2;2;(-BA -BT);3.545;7.326;94.38º
218;NOT;2011;07/11/2011;17:00;07/11/2011;23:00;NOT;0;0;NOT;*;*;*
219;NWS;2011;14/11/2011;19:00;15/11/2011;04:00;294º, 8º;0;1;(+BA +BT);2.868;6.566;139.29º
220;NES;2011;29/11/2011;01:00;29/11/2011;08:00;78º , 0º;1;1;(-BA -BT);2.195;5.695;128.41
221;NES;2011;02/12/2011;16:00;02/12/2011;00:00;86º, -28º;2;2;(-BA +BT);2.911;6.454;132.73º
222;NOT;2011;25/12/2011;02:00;26/12/2011;17:00;NOT;0;0;NOT;*;*;*
223;NOT;2011;29/12/2011;22:00;30/12/2011;08:00;NOT;0;0;NOT;*;*;*
224;NOT;2012;21/01/2012;06:00;22/01/2012;08:00;NOT;0;0;NOT;*;*;*
225;SWN;2012;22/01/2012;23:00;23/01/2012;07:00;291º, -7º;1;2;(+BA +BT);3.301;8.422;125.85º
226;SWN;2012;15/02/2012;13:00;16/02/2012;06:00;281º, 29º;1;1;(-BA +BT);7.567;11.297;102.00º
227;NOT;2012;16/02/2012;05:00;18/02/2012;11:00;NOT;0;0;NOT;*;*;*
228;NES;2012;27/02/2012;19:00;28/02/2012;16:00;28º, 29º;1;1;(+BA +BT);3.640;7.951;140.10º
229;NES;2012;29/02/2012;21:00;01/03/2012;08:00;109º, -10º;2;2;(+BA -BT);2.713;4.867;129.63º
230;NOT;2012;03/03/2012;20:00;04/03/2012;06:00;NOT;0;0;NOT;*;*;*
231;NWS;2012;06/03/2012;09:00;06/03/2012;16:00;281º, -37º;1;2;(+BA -BT);5.571;10.893;92.97º
232;NES;2012;09/03/2012;03:00;10/03/2012;06:00;NOT;0;0;NOT;*;*;*
233;ESW;2012;15/03/2012;16:00;16/03/2012;00:00;315º, -73º;2;2;(-BA +BT);5.650;11.412;98.72º
234;WSE;2012;23/04/2012;17:00;24/04/2012;06:00;278º, -68º;0;1;(+BA +BT);4.832;5.999;113.72º
235;ENW;2012;17/05/2012;16:00;18/05/2012;00:00;246º, 67º;1;1;(-BA -BT);9.277;14.120;118.06º
236;NES;2012;16/06/2012;23:00;17/06/2016;12:00;97º, -42º;1;2;(-BA -BT);5.657;11.514;90.41º
237;NWS;2012;05/07/2012;20:00;06/07/2012;02:00;265º, 10º;2;2;(+BA -BT);11.494;14.954;116.19º
238;WSE;2012;09/07/2012;00:00;09/07/2012;14:00;314º, -45º;1;2;(-BA -BT);4.893;10.793;156.90º
239;NOT;2012;15/07/2012;06:00;15/07/2012;05:00;NOT;0;0;NOT;*;*;*
240;NOT;2012;01/09/2012;07:00;03/09/2012;10:00;NOT;0;0;NOT;*;*;*
241;ENW;2012;05/09/2012;06:00;05/09/2012;18:00;210º, 47º;2;2;(+BA +BT);3.600;8.281;100.99º
